ProductURL,ProductName,ModelCodes,Sport,Category,Subcategory,ImageURL,ImagePath,Manufacturer,ManufacturerPrefix,ManufacturerConfidence,ManufacturerMethod
https://tomkosports.com/shop/ball-machines/sports-tutor-ball-machines-canada/tennis-ball-machines/tennis-tutor-plus/,TENNIS TUTOR PLUS & PLUS PLAYER,TB-TUT2P ; TB-TUT3P ; TB-TUTPP ; TB-TUTPPR ; TB-TUTPPMR,ball-machines,sports-tutor-ball-machines-canada,tennis-ball-machines,https://tomkosports.com/wp-content/uploads/2021/02/Tennis-Tutor-Plus-Player-440x547.jpg,images/product_84.png,Unknown,TUT2P;TUT3P;TUTPP;TUTPPR;TUTPPMR,low,none
https://tomkosports.com/shop/pickleball/sound-reduction/acoustifence-by-acoustiblok/,AcoustiFence Noise Reduction,TW-AB,pickleball,sound-reduction,acoustifence-by-acoustiblok,https://tomkosports.com/wp-content/uploads/2019/12/ABAFPublix2560-e1576173576803-440x211.jpg,images/product_85.png,Unknown,AB,low,none
https://tomkosports.com/shop/windscreens-and-netting/vcp-max-windscreen/,VCP Max Windscreen,TW-VCPMAX6 ; TW-VCPMAX9,windscreens-and-netting,vcp-max-windscreen,,https://tomkosports.com/wp-content/uploads/2021/04/VCP-Max-WIndscreen-1-440x443.jpg,images/product_86.png,Unknown,VCPMAX6;VCPMAX9,low,none
https://tomkosports.com/shop/windscreens-and-netting/vcp-premium-windscreen-8-oz/,VCP Premium Windscreen,TW-VCP6 ; TW-VCP9,windscreens-and-netting,vcp-premium-windscreen-8-oz,,https://tomkosports.com/wp-content/uploads/2019/10/VCP-Windscreen-3-440x440.jpg,images/product_87.png,Unknown,VCP6;VCP9,low,none
https://tomkosports.com/shop/windscreens-and-netting/enviroscreen-rolls/,Enviroscreen/Privacy Screen,SF-ENV44 ; SF-ENV68,windscreens-and-netting,enviroscreen-rolls,,https://tomkosports.com/wp-content/uploads/2019/11/Enviroscreen-440x403.jpg,images/product_88.png,Unknown,ENV44;ENV68,low,none
https://tomkosports.com/shop/windscreens-and-netting/hd-divider-net-10-x-60/,Divider Netting,TW-DNET ; TW-D420,windscreens-and-netting,hd-divider-net-10-x-60,,https://tomkosports.com/wp-content/uploads/2019/12/Divider-Netting-1-440x443.jpg,images/product_89.png,Unknown,DNET;D420,low,none
https://tomkosports.com/shop/ball-machines/sports-tutor-ball-machines-canada/tennis-ball-machines/wilson-portable/,WILSON PORTABLE,TB-WILS ; TB-WILSR ; TB-WILS2L ; TB-WILS2LR,ball-machines,sports-tutor-ball-machines-canada,tennis-ball-machines,https://tomkosports.com/wp-content/uploads/2020/01/Wilson-Portable.jpg,images/product_90.png,Unknown,WILS;WILSR;WILS2L;WILS2LR,low,none
https://tomkosports.com/shop/court-materials-accessories/har-tru-clay/har-tru-court-clay/,Har-Tru – Clay Court,TS-HT,court-materials-accessories,har-tru-clay,har-tru-court-clay,https://tomkosports.com/wp-content/uploads/2019/12/Har-Tru-Material-440x441.jpg,images/product_91.png,Unknown,HT,low,none
https://tomkosports.com/shop/ball-machines/sports-tutor-ball-machines-canada/tennis-ball-machines/shotmaker-mini/,SHOTMAKER MINI,TB-SHMSD ; TB-SHMPLAY ; TB-SHMDLXP,ball-machines,sports-tutor-ball-machines-canada,tennis-ball-machines,https://tomkosports.com/wp-content/uploads/2021/02/Shotmaker-mini-1-440x333.jpg,images/product_92.png,Unknown,SHMSD;SHMPLAY;SHMDLXP,low,none
https://tomkosports.com/shop/court-materials-accessories/clay-court-materials/court-pac-ride-on-rollers/,CourtPac Ride-On Rollers,TS-CPR,court-materials-accessories,clay-court-materials,court-pac-ride-on-rollers,https://tomkosports.com/wp-content/uploads/2019/12/Court-Pac-Roller-440x404.jpg,images/product_93.png,Unknown,CPR,low,none
https://tomkosports.com/shop/court-materials-accessories/clay-court-materials/aussie-clean-sweep/,Aussie Clean Sweep,TS-ACS,court-materials-accessories,clay-court-materials,aussie-clean-sweep,https://tomkosports.com/wp-content/uploads/2019/12/Aussie-Clean-Sweep-440x407.jpg,images/product_94.png,Unknown,ACS,low,none
https://tomkosports.com/shop/court-materials-accessories/clay-court-materials/gator-rake/,Gator Rake,TN-GR24 ; TN-GR72 ; TN-GR72TPRO,court-materials-accessories,clay-court-materials,gator-rake,https://tomkosports.com/wp-content/uploads/2019/12/Gator-Rake-440x420.jpg,images/product_95.png,Unknown,GR24;GR72;GR72TPRO,low,none
https://tomkosports.com/shop/ball-machines/sports-tutor-ball-machines-canada/tennis-ball-machines/shotmaker-professional-machine/,SHOTMAKER PROFESSIONAL,TB-SHSD ; TB-SHSDLXP,ball-machines,sports-tutor-ball-machines-canada,tennis-ball-machines,https://tomkosports.com/wp-content/uploads/2021/02/Shotmaker-Professional.jpg,images/product_96.png,Unknown,SHSD;SHSDLXP,low,none
